study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Carlos_H_Vergara_Coffea_arabica_Mexico_2004,MIR1,Coffea arabica,"Typica, Bourbon, Mundo Novo and Caturra",organic,Mexico,19.2110667,-96.8997333,NA,NA,NA,5,5,2004,0.7,50.25,Fruit set (%): initial number of floral buds in the respective branch and the number of developing fruits,NA,NA,37,37,NA,NA,NA,NA,NA,NA,NA,NA,9,12.972,Chao1,NA,145,123,0,15,4,0,2,0,0,1,0,NA,100,visits per plant and hour,87,73.8,0,9,2.4,0,1.2,0,0,0.6,0,:10.1016/j.agee.2008.08.001,Carlos H. Vergara and Ernesto I. Badano,carlosh.vergara@udlap.mx
Carlos_H_Vergara_Coffea_arabica_Mexico_2004,MIR2,Coffea arabica," Typica, Bourbon, Mundo Novo and Caturra",organic,Mexico,19.2135333,-96.8995167,NA,NA,NA,5,5,2004,1.53,61.75,Fruit set (%): initial number of floral buds in the respective branch and the number of developing fruits,NA,NA,46.25,46.25,NA,NA,NA,NA,NA,NA,NA,NA,6,6.248,Chao1,NA,125,105,0,10,9,0,0,0,0,1,0,NA,100,visits per plant and hour,75,63,0,6,5.3999999999999995,0,0,0,0,0.6,0,:10.1016/j.agee.2008.08.001,Carlos H. Vergara and Ernesto I. Badano,carlosh.vergara@udlap.mx
Carlos_H_Vergara_Coffea_arabica_Mexico_2004,MIR3,Coffea arabica," Typica, Bourbon, Mundo Novo and Caturra",organic,Mexico,19.2098833,-96.8965,NA,NA,NA,5,5,2004,2.6,36,Fruit set (%): initial number of floral buds in the respective branch and the number of developing fruits,NA,NA,25,25,NA,NA,NA,NA,NA,NA,NA,NA,7,9.219,Chao1,NA,73,57,0,12,2,0,1,0,0,1,0,NA,100,visits per plant and hour,43.8,34.199999999999996,0,7.199999999999999,1.2,0,0.6,0,0,0.6,0,:10.1016/j.agee.2008.08.001,Carlos H. Vergara and Ernesto I. Badano,carlosh.vergara@udlap.mx
Carlos_H_Vergara_Coffea_arabica_Mexico_2004,MIR4,Coffea arabica," Typica, Bourbon, Mundo Novo and Caturra",organic,Mexico,19.2101167,-96.8876667,NA,NA,NA,5,5,2004,6.65,33.25,Fruit set (%): initial number of floral buds in the respective branch and the number of developing fruits,NA,NA,28.5,28.5,NA,NA,NA,NA,NA,NA,NA,NA,4,4.496,Chao1,NA,140,132,0,8,0,0,0,0,0,0,0,NA,100,visits per plant and hour,84,79.2,0,4.8,0,0,0,0,0,0,0,:10.1016/j.agee.2008.08.001,Carlos H. Vergara and Ernesto I. Badano,carlosh.vergara@udlap.mx
Carlos_H_Vergara_Coffea_arabica_Mexico_2004,ORD1,Coffea arabica, Garnica,conventional,Mexico,19.2055833,-96.8977333,NA,NA,NA,5,5,2004,4.88,14,Fruit set (%): initial number of floral buds in the respective branch and the number of developing fruits,NA,NA,7.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,9,13.472,Chao1,NA,158,138,0,1,5,0,7,1,0,6,0,NA,100,visits per plant and hour,94.8,82.8,0,0.6,3,0,4.2,0.6,0,3.5999999999999996,0,:10.1016/j.agee.2008.08.001,Carlos H. Vergara and Ernesto I. Badano,carlosh.vergara@udlap.mx
Carlos_H_Vergara_Coffea_arabica_Mexico_2004,ORD2,Coffea arabica, Garnica,conventional,Mexico,19.20565,-96.89855,NA,NA,NA,5,5,2004,4.88,16.5,Fruit set (%): initial number of floral buds in the respective branch and the number of developing fruits,NA,NA,10.5,10.5,NA,NA,NA,NA,NA,NA,NA,NA,11,11.66,Chao1,NA,100,70,0,3,15,0,5,1,0,6,0,NA,100,visits per plant and hour,60,42,0,1.7999999999999998,9,0,3,0.6,0,3.5999999999999996,0,:10.1016/j.agee.2008.08.001,Carlos H. Vergara and Ernesto I. Badano,carlosh.vergara@udlap.mx
Carlos_H_Vergara_Coffea_arabica_Mexico_2004,ORD3,Coffea arabica, Garnica,conventional,Mexico,19.2070167,-96.8843,NA,NA,NA,5,5,2004,18.29,14.5,Fruit set (%): initial number of floral buds in the respective branch and the number of developing fruits,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,NA,11,13.484,Chao1,NA,160,145,0,2,5,0,3,1,0,4,0,NA,100,visits per plant and hour,96,87,0,1.2,3,0,1.7999999999999998,0.6,0,2.4,0,:10.1016/j.agee.2008.08.001,Carlos H. Vergara and Ernesto I. Badano,carlosh.vergara@udlap.mx
Carlos_H_Vergara_Coffea_arabica_Mexico_2004,ORD4,Coffea arabica, Garnica,conventional,Mexico,19.2063,-96.8850667,NA,NA,NA,5,5,2004,7.2,11.330645161290326,Fruit set (%): initial number of floral buds in the respective branch and the number of developing fruits,NA,NA,7.41039426523298,7.41039426523298,NA,NA,NA,NA,NA,NA,NA,NA,10,10.166,Chao1,NA,164,131,0,13,10,0,1,0,0,9,0,NA,100,visits per plant and hour,98.39999999999999,78.6,0,7.8,6,0,0.6,0,0,5.3999999999999995,0,:10.1016/j.agee.2008.08.001,Carlos H. Vergara and Ernesto I. Badano,carlosh.vergara@udlap.mx
Carlos_H_Vergara_Coffea_arabica_Mexico_2004,SOL1,Coffea arabica, Caturra,conventional,Mexico,19.3756833,-96.98785,NA,NA,NA,5,5,2004,0.1925,29,Fruit set (%): initial number of floral buds in the respective branch and the number of developing fruits,NA,NA,21,21,NA,NA,NA,NA,NA,NA,NA,NA,5,5.496,Chao1,NA,132,119,0,0,1,0,3,7,0,2,0,NA,100,visits per plant and hour,79.2,71.39999999999999,0,0,0.6,0,1.7999999999999998,4.2,0,1.2,0,:10.1016/j.agee.2008.08.001,Carlos H. Vergara and Ernesto I. Badano,carlosh.vergara@udlap.mx
Carlos_H_Vergara_Coffea_arabica_Mexico_2004,SOL2,Coffea arabica, Caturra,conventional,Mexico,19.4815667,-96.991,NA,NA,NA,5,5,2004,0.4446,18.5,Fruit set (%): initial number of floral buds in the respective branch and the number of developing fruits,NA,NA,13.5,13.5,NA,NA,NA,NA,NA,NA,NA,NA,5,5.246,Chao1,NA,69,56,0,0,1,0,2,8,0,2,0,NA,100,visits per plant and hour,41.4,33.6,0,0,0.6,0,1.2,4.8,0,1.2,0,:10.1016/j.agee.2008.08.001,Carlos H. Vergara and Ernesto I. Badano,carlosh.vergara@udlap.mx
