study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,1,Fagopyrum esculentum,NA,conventional,Japan,36.58494,140.44174,NA,NA,NA,NA,NA,2008,0.25507399999999997,14.297487731178975,seed set,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12.08,Chao1,NA,25,4,0,1,10,0,6,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and Forest Products Research Institute",htaki@affrc.go.jp
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,2,Fagopyrum esculentum,NA,conventional,Japan,36.5875,140.44562,NA,NA,NA,NA,NA,2008,0.305298,16.04206352475119,seed set,NA,NA,0.8333333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,46.03,Chao1,NA,33,7,0,2,8,0,8,4,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and Forest Products Research Institute",htaki@affrc.go.jp
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,3,Fagopyrum esculentum,NA,conventional,Japan,36.59589,140.43996,NA,NA,NA,NA,NA,2008,0.546323,17.85609993222467,seed set,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,19.625,Chao1,NA,24,9,0,1,1,0,5,3,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and Forest Products Research Institute",htaki@affrc.go.jp
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,4,Fagopyrum esculentum,NA,conventional,Japan,36.58083,140.46078,NA,NA,NA,NA,NA,2008,0.323393,19.084926257952574,seed set,NA,NA,0.5208333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,50.657,Chao1,NA,51,8,0,3,8,0,19,5,1,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and Forest Products Research Institute",htaki@affrc.go.jp
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,5,Fagopyrum esculentum,NA,conventional,Japan,36.56832,140.46266,NA,NA,NA,NA,NA,2008,0.17464400000000002,16.343815642847172,seed set,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,26.867,Chao1,NA,32,4,0,1,8,0,6,5,3,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and Forest Products Research Institute",htaki@affrc.go.jp
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,6,Fagopyrum esculentum,NA,conventional,Japan,36.62001,140.44448,NA,NA,NA,NA,NA,2008,0.307412,22.78597943653989,seed set,NA,NA,1.4113849148827406,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,61.529,Chao1,NA,34,14,0,1,5,0,3,1,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and Forest Products Research Institute",htaki@affrc.go.jp
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,7,Fagopyrum esculentum,NA,conventional,Japan,36.62213,140.4498,NA,NA,NA,NA,NA,2008,0.154535,18.2271670433047,seed set,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,52.194,Chao1,NA,31,11,0,0,5,0,2,1,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and Forest Products Research Institute",htaki@affrc.go.jp
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,8,Fagopyrum esculentum,NA,conventional,Japan,36.63956,140.45187,NA,NA,NA,NA,NA,2008,0.192711,16.878852993501553,seed set,NA,NA,0.6410256410256411,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,129.459,Chao1,NA,37,7,0,6,7,0,8,0,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and Forest Products Research Institute",htaki@affrc.go.jp
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,9,Fagopyrum esculentum,NA,conventional,Japan,36.63495,140.45381,NA,NA,NA,NA,NA,2008,0.31643800000000005,15.908540321077687,seed set,NA,NA,2.5985221674876846,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,41.597,Chao1,NA,40,5,0,5,7,0,13,0,1,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and Forest Products Research Institute",htaki@affrc.go.jp
Hisatomo_Taki_Fagopyrum_esculentum_Japan_2008,10,Fagopyrum esculentum,NA,conventional,Japan,36.62191,140.46072,NA,NA,NA,NA,NA,2008,0.173633,21.155466708501887,seed set,NA,NA,2.2283272283272284,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,46.512,Chao1,NA,41,7,0,1,7,0,5,2,0,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1744-7348.2009.00326.x/10.1016/j.baae.2010.08.004,"Hisatomo Taki, Forestry and Forest Products Research Institute",htaki@affrc.go.jp
