study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
James_Reilly_Prunus_avium_USA_2013,cherry_sweet_wa_1_0,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,28.1,number of fruits,NA,number of fruits per_flower,NA,NA,NA,NA,NA,240.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,4.3333336,0,1.333333,0.3333339999999998,0.3333333,NA,2.3333333,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Prunus_avium_USA_2013,cherry_sweet_wa_1_25,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,15.6,number of fruits,NA,number of fruits per_flower,NA,NA,NA,NA,NA,148.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,3.666667,0,2.666667,0,0,NA,1,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Prunus_avium_USA_2013,cherry_sweet_wa_1_50,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,17.4,number of fruits,NA,number of fruits per_flower,NA,NA,NA,NA,NA,162.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,2.666667,0,2.666667,0,0,NA,0,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Prunus_avium_USA_2013,cherry_sweet_wa_1_100,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,27.9,number of fruits,NA,number of fruits per_flower,NA,NA,NA,NA,NA,274.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,3.3333333,0,3,0,0,NA,0.3333333,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Prunus_avium_USA_2013,cherry_sweet_wa_2_0,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,12.555556,number of fruits,NA,number of fruits per_flower,NA,NA,NA,NA,NA,114.76667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,4,0,2,0,0,NA,2,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Prunus_avium_USA_2013,cherry_sweet_wa_2_25,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,5.833333,number of fruits,NA,number of fruits per_flower,NA,NA,NA,NA,NA,54.16333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,2.6666667,0,2,0,0,NA,0.6666667,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Prunus_avium_USA_2013,cherry_sweet_wa_2_50,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,13.571429,number of fruits,NA,number of fruits per_flower,NA,NA,NA,NA,NA,161.42143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,3.666667,0,2.666667,0,0,NA,1,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Prunus_avium_USA_2013,cherry_sweet_wa_2_100,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,13.777778,number of fruits,NA,number of fruits per_flower,NA,NA,NA,NA,NA,127.70333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,4.666667,0,1.666667,0,0.3333333,NA,2.6666667,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Prunus_avium_USA_2013,cherry_sweet_wa_3_0,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,23,number of fruits,NA,number of fruits per_flower,NA,NA,NA,NA,NA,216.61333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,5.3333333,0,5,0,0,NA,0.3333333,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Prunus_avium_USA_2013,cherry_sweet_wa_3_25,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,number of fruits,NA,number of fruits per_flower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,4,0,2.666667,0.3333330000000001,0,NA,1,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Prunus_avium_USA_2013,cherry_sweet_wa_3_50,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,number of fruits,NA,number of fruits per_flower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,8.3333337,0,7.333333,0.3333340000000007,0,NA,0.6666667,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
James_Reilly_Prunus_avium_USA_2013,cherry_sweet_wa_3_100,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,number of fruits,NA,number of fruits per_flower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,5.0000003,0,4.666667,0,0,NA,0.3333333,NA,NA,NA,NA,10.1098/rspb.2020.0922,James Reilly and all the co-authors in the referred publication,jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
