study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2008,carv01_01,Mangifera indica,KENT,Organic,South Africa,-24.432472,30.857639,NA,NA,NA,NA,NA,2008,NA,1.14285714285714,early fruit set (number of unripe fruits per inflorescence),NA,NA,0,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA,6,10.2,Chao1,NA,15,1,0,6,4,0,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carvalheiro et al. 2010. Journal of applied ecology,Luísa G. Carvalheiro,lgcarvalheiro@gmail.com
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2008,carv01_02,Mangifera indica,KENT,Conventional,South Africa,-24.505361,30.834722,NA,NA,NA,NA,NA,2008,NA,0.5,early fruit set (number of unripe fruits per inflorescence),NA,NA,0.125,0.6,NA,NA,NA,NA,NA,NA,NA,NA,4,4.875,Chao1,NA,8,3,0,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carvalheiro et al. 2010. Journal of applied ecology,Luísa G. Carvalheiro,lgcarvalheiro@gmail.com
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2008,carv01_03,Mangifera indica,KENT,Conventional,South Africa,-24.480333,30.852083,NA,NA,NA,NA,NA,2008,NA,0.571428571428571,early fruit set (number of unripe fruits per inflorescence),NA,NA,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,Chao1,NA,9,0,0,0,1,0,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carvalheiro et al. 2010. Journal of applied ecology,Luísa G. Carvalheiro,lgcarvalheiro@gmail.com
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2008,carv01_04,Mangifera indica,KENT,Conventional,South Africa,-24.398667,30.826944,NA,NA,NA,NA,NA,2008,NA,0.125,early fruit set (number of unripe fruits per inflorescence),NA,NA,0.111111111111111,0,NA,NA,NA,NA,NA,NA,NA,NA,3,4.5,Chao1,NA,4,2,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carvalheiro et al. 2010. Journal of applied ecology,Luísa G. Carvalheiro,lgcarvalheiro@gmail.com
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2008,carv01_05,Mangifera indica,KENT,Organic,South Africa,-24.415667,30.879194,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,NA,2,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carvalheiro et al. 2010. Journal of applied ecology,Luísa G. Carvalheiro,lgcarvalheiro@gmail.com
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2008,carv01_06,Mangifera indica,KENT,Conventional,South Africa,-24.403333,30.862972,NA,NA,NA,NA,NA,2008,NA,0,early fruit set (number of unripe fruits per inflorescence),NA,NA,0.444444444444444,0,NA,NA,NA,NA,NA,NA,NA,NA,4,8.5,Chao1,NA,4,0,0,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carvalheiro et al. 2010. Journal of applied ecology,Luísa G. Carvalheiro,lgcarvalheiro@gmail.com
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2008,carv01_07,Mangifera indica,KENT,Conventional,South Africa,-24.458556,30.863583,NA,NA,NA,NA,NA,2008,NA,0.5,early fruit set (number of unripe fruits per inflorescence),NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2.333,Chao1,NA,3,1,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carvalheiro et al. 2010. Journal of applied ecology,Luísa G. Carvalheiro,lgcarvalheiro@gmail.com
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2008,carv01_08,Mangifera indica,KENT,Conventional,South Africa,-24.412667,30.896278,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.8,Chao1,NA,5,1,0,0,0,0,3,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carvalheiro et al. 2010. Journal of applied ecology,Luísa G. Carvalheiro,lgcarvalheiro@gmail.com
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2008,carv01_09,Mangifera indica,KENT,Conventional,South Africa,-24.412306,30.793389,NA,NA,NA,NA,NA,2008,NA,0.888888888888889,early fruit set (number of unripe fruits per inflorescence),NA,NA,0.375,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA,2,2.5,Chao1,NA,2,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carvalheiro et al. 2010. Journal of applied ecology,Luísa G. Carvalheiro,lgcarvalheiro@gmail.com
Luísa_G_Carvalheiro_Mangifera_indica_South_Africa_2008,carv01_10,Mangifera indica,KENT,Conventional,South Africa,-24.429611,30.798611,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Chao1,NA,3,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carvalheiro et al. 2010. Journal of applied ecology,Luísa G. Carvalheiro,lgcarvalheiro@gmail.com
