study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Maj_Rundlof_Brassica_napus_Sweden_2011,lsk02,Brassica napus,NA,conventional,Sweden,NA,NA,NA,NA,NA,5,6,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1,2,1,15,0,0,0,0,0,0,300,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maj Rundlof, Henrik Smith and Riccardo Bommarco",Maj.Rundlof@biol.lu.se
Maj_Rundlof_Brassica_napus_Sweden_2011,lsk08,Brassica napus,NA,conventional,Sweden,NA,NA,NA,NA,NA,5,6,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,4,4,0,0,0,0,0,0,300,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maj Rundlof, Henrik Smith and Riccardo Bommarco",Maj.Rundlof@biol.lu.se
Maj_Rundlof_Brassica_napus_Sweden_2011,lsk12,Brassica napus,NA,conventional,Sweden,NA,NA,NA,NA,NA,5,6,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,4,9,7,5,0,0,0,0,0,0,300,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maj Rundlof, Henrik Smith and Riccardo Bommarco",Maj.Rundlof@biol.lu.se
Maj_Rundlof_Brassica_napus_Sweden_2011,lsk14,Brassica napus,NA,conventional,Sweden,NA,NA,NA,NA,NA,5,6,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,34,5,0,2,0,0,0,0,0,0,300,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maj Rundlof, Henrik Smith and Riccardo Bommarco",Maj.Rundlof@biol.lu.se
Maj_Rundlof_Brassica_napus_Sweden_2011,lsk21,Brassica napus,NA,conventional,Sweden,NA,NA,NA,NA,NA,5,6,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,32,5,7,16,0,0,0,0,0,0,300,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maj Rundlof, Henrik Smith and Riccardo Bommarco",Maj.Rundlof@biol.lu.se
Maj_Rundlof_Brassica_napus_Sweden_2011,lsk32,Brassica napus,NA,conventional,Sweden,NA,NA,NA,NA,NA,5,6,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,12,1,3,4,0,0,0,0,0,0,300,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maj Rundlof, Henrik Smith and Riccardo Bommarco",Maj.Rundlof@biol.lu.se
Maj_Rundlof_Brassica_napus_Sweden_2011,lsk42,Brassica napus,NA,conventional,Sweden,NA,NA,NA,NA,NA,5,6,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,3,4,1,0,0,0,0,0,0,300,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maj Rundlof, Henrik Smith and Riccardo Bommarco",Maj.Rundlof@biol.lu.se
Maj_Rundlof_Brassica_napus_Sweden_2011,lsk46,Brassica napus,NA,conventional,Sweden,NA,NA,NA,NA,NA,5,6,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,5,4,1,8,0,0,0,0,0,0,300,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maj Rundlof, Henrik Smith and Riccardo Bommarco",Maj.Rundlof@biol.lu.se
Maj_Rundlof_Brassica_napus_Sweden_2011,lsk48,Brassica napus,NA,conventional,Sweden,NA,NA,NA,NA,NA,5,6,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,11,12,1,32,0,0,0,0,0,0,300,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maj Rundlof, Henrik Smith and Riccardo Bommarco",Maj.Rundlof@biol.lu.se
Maj_Rundlof_Brassica_napus_Sweden_2011,lsk57,Brassica napus,NA,conventional,Sweden,NA,NA,NA,NA,NA,5,6,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,2,1,0,0,0,0,0,0,0,300,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maj Rundlof, Henrik Smith and Riccardo Bommarco",Maj.Rundlof@biol.lu.se
Maj_Rundlof_Brassica_napus_Sweden_2011,lsk59,Brassica napus,NA,conventional,Sweden,NA,NA,NA,NA,NA,5,6,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,22,5,0,3,0,0,0,0,0,0,300,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maj Rundlof, Henrik Smith and Riccardo Bommarco",Maj.Rundlof@biol.lu.se
