study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Marcos_Miñarro_Malus_domestica_Spain_2015,Sel01,Malus domestica,Regona,organic,Spain,43.5156,-5.34808,NA,NA,NA,5,5,2015,2.4,21.666666666666668,early fruit set (%),NA,NA,NA,28.333333333333332,NA,NA,484.2,NA,NA,6.3428571428571425,NA,NA,15,NA,NA,NA,125.99799999999999,18,34,3,68.99799999999999,0,2,0,0,0,0,47.12,75,visits per 100 flowers and hour,3.5479901443153814,0.5068637803590285,0.9574093629003871,0.08447729672650475,1.9429215065117913,0,0.056318197817669835,0,0,0,0,10.1007/s13592-018-0600-4,"Marcos Miñarro, Daniel García",mminarro@serida.org
Marcos_Miñarro_Malus_domestica_Spain_2015,Ria02,Malus domestica,Regona,IPM,Spain,43.5172,-5.3799,NA,NA,NA,5,5,2015,3.4,20,early fruit set (%),NA,NA,NA,55,NA,NA,527.6,NA,NA,4.111111111111111,NA,NA,11,NA,NA,NA,46,26,1,2,6,0,4,3,3,0,1,47.12,75,visits per 100 flowers and hour,1.798631476050831,1.0166177908113392,0.039100684261974585,0.07820136852394917,0.23460410557184752,0,0.15640273704789834,0.11730205278592376,0.11730205278592376,0,0.039100684261974585,10.1007/s13592-018-0600-4,"Marcos Miñarro, Daniel García",mminarro@serida.org
Marcos_Miñarro_Malus_domestica_Spain_2015,Tor03,Malus domestica,Regona,IPM,Spain,43.5042,-5.40746,NA,NA,NA,5,5,2015,5.6,16.666666666666668,early fruit set (%),NA,NA,NA,26.666666666666668,NA,NA,409.2,NA,NA,7.2,NA,NA,9,NA,NA,NA,64,40,0,1,9,0,6,7,1,0,0,47.12,75,visits per 100 flowers and hour,1.8948926720947448,1.1843079200592155,0,0.029607698001480384,0.2664692820133235,0,0.17764618800888232,0.20725388601036268,0.029607698001480384,0,0,10.1007/s13592-018-0600-4,"Marcos Miñarro, Daniel García",mminarro@serida.org
Marcos_Miñarro_Malus_domestica_Spain_2015,Gai04,Malus domestica,Regona,IPM,Spain,43.4926,-5.41948,NA,NA,NA,5,5,2015,2,43.333333333333336,early fruit set (%),NA,NA,NA,70,NA,NA,842,NA,NA,6.2023809523809526,NA,NA,8,NA,NA,NA,60,38,2,1,18,0,1,0,0,0,0,47.12,75,visits per 100 flowers and hour,1.8230155715913408,1.1545765286745158,0.060767185719711354,0.030383592859855677,0.5469046714774022,0,0.030383592859855677,0,0,0,0,10.1007/s13592-018-0600-4,"Marcos Miñarro, Daniel García",mminarro@serida.org
Marcos_Miñarro_Malus_domestica_Spain_2015,Sor05,Malus domestica,Regona,IPM,Spain,43.4807,-5.44598,NA,NA,NA,5,5,2015,1.4,15,early fruit set (%),NA,NA,NA,36.666666666666664,NA,NA,735.5,NA,NA,5.888888888888889,NA,NA,11,NA,NA,NA,100,75,1,6,9,0,2,7,0,0,0,47.12,75,visits per 100 flowers and hour,2.9542097488921715,2.2156573116691285,0.029542097488921712,0.17725258493353027,0.2658788774002954,0,0.059084194977843424,0.206794682422452,0,0,0,10.1007/s13592-018-0600-4,"Marcos Miñarro, Daniel García",mminarro@serida.org
Marcos_Miñarro_Malus_domestica_Spain_2015,Bus06,Malus domestica,Regona,IPM,Spain,43.4559,-5.46599,NA,NA,NA,5,5,2015,5.4,55,early fruit set (%),NA,NA,NA,80,NA,NA,789.3,NA,NA,7.627065527065528,NA,NA,12,NA,NA,NA,84,63,0,4,12,0,4,1,0,0,0,47.12,75,visits per 100 flowers and hour,2.854715378079864,2.141036533559898,0,0.13593882752761258,0.4078164825828377,0,0.13593882752761258,0.033984706881903144,0,0,0,10.1007/s13592-018-0600-4,"Marcos Miñarro, Daniel García",mminarro@serida.org
Marcos_Miñarro_Malus_domestica_Spain_2015,Cam07,Malus domestica,Regona,organic,Spain,43.4526,-5.4831,NA,NA,NA,5,5,2015,0.8,20,early fruit set (%),NA,NA,NA,50,NA,NA,708.9,NA,NA,6.6944444444444455,NA,NA,9,NA,NA,NA,101.001,78,1,3.0010000000000003,3,0,15,1,0,0,0,47.12,75,visits per 100 flowers and hour,2.9424908958485068,2.272396212672979,0.029133284777858703,0.08742898761835398,0.08739985433357611,0,0.43699927166788055,0.029133284777858703,0,0,0,10.1007/s13592-018-0600-4,"Marcos Miñarro, Daniel García",mminarro@serida.org
Marcos_Miñarro_Malus_domestica_Spain_2015,Cey08,Malus domestica,Regona,IPM,Spain,43.4564,-5.38314,NA,NA,NA,5,5,2015,1,15,early fruit set (%),NA,NA,NA,35,NA,NA,599.3,NA,NA,6.622222222222223,NA,NA,19,NA,NA,NA,81.001,17,3,14.001,43,0,3,0,1,0,0,47.12,75,visits per 100 flowers and hour,2.733057781526782,0.5735976381273724,0.10122311261071278,0.4724082665541965,1.4508646140868833,0,0.10122311261071278,0,0.03374103753690426,0,0,10.1007/s13592-018-0600-4,"Marcos Miñarro, Daniel García",mminarro@serida.org
Marcos_Miñarro_Malus_domestica_Spain_2015,Cay09,Malus domestica,Regona,IPM,Spain,43.4552,-5.41072,NA,NA,NA,5,5,2015,1.7,46.666666666666664,early fruit set (%),NA,NA,NA,46.666666666666664,NA,NA,720.9,NA,NA,7.7440476190476195,NA,NA,10,NA,NA,NA,83,60,8,4,7,0,3,1,0,0,0,47.12,75,visits per 100 flowers and hour,2.6915281718686663,1.9456830158086744,0.25942440210782325,0.12971220105391162,0.22699635184434536,0,0.09728415079043372,0.032428050263477906,0,0,0,10.1007/s13592-018-0600-4,"Marcos Miñarro, Daniel García",mminarro@serida.org
Marcos_Miñarro_Malus_domestica_Spain_2015,Por10,Malus domestica,Regona,IPM,Spain,43.438,-5.44881,NA,NA,NA,5,5,2015,6.8,31.666666666666668,early fruit set (%),NA,NA,NA,66.66666666666667,NA,NA,647.9,NA,NA,6.9523809523809526,NA,NA,13,NA,NA,NA,56.001,32,1,3.0010000000000003,18,0,1,1,0,0,0,47.12,75,visits per 100 flowers and hour,1.629712622771917,0.9312477264459803,0.029101491451436885,0.08733357584576211,0.5238268461258639,0,0.029101491451436885,0.029101491451436885,0,0,0,10.1007/s13592-018-0600-4,"Marcos Miñarro, Daniel García",mminarro@serida.org
