study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Rachael_Winfree_Cucumis_melo_USA_2004,bar,Cucumis melo,NA,NA,USA,40.171578,-75.403945,NA,NA,NA,7,7,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,Chao1,only non-Apis bees,21,0,7,14,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
Rachael_Winfree_Cucumis_melo_USA_2004,del,Cucumis melo,NA,NA,USA,40.296256,-75.150598,NA,NA,NA,7,7,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.9,Chao1,only non-Apis bees,10,0,1,9,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
Rachael_Winfree_Cucumis_melo_USA_2004,ker,Cucumis melo,NA,NA,USA,40.341596,-74.767972,NA,NA,NA,7,7,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.333,Chao1,only non-Apis bees,3,0,3,0,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
Rachael_Winfree_Cucumis_melo_USA_2004,lee,Cucumis melo,NA,NA,USA,40.266198,-74.563116,NA,NA,NA,7,7,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.5,Chao1,only non-Apis bees,2,0,0,2,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
Rachael_Winfree_Cucumis_melo_USA_2004,lit,Cucumis melo,NA,NA,USA,40.30949,-74.752612,NA,NA,NA,7,7,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.2,Chao1,only non-Apis bees,5,0,2,3,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
Rachael_Winfree_Cucumis_melo_USA_2004,map,Cucumis melo,NA,NA,USA,40.118056,-75.270109,NA,NA,NA,7,7,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.45,Chao1,only non-Apis bees,10,0,3,7,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
Rachael_Winfree_Cucumis_melo_USA_2004,non,Cucumis melo,NA,NA,USA,40.318046,-75.058363,NA,NA,NA,7,7,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4.5,Chao1,only non-Apis bees,4,0,2,2,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
Rachael_Winfree_Cucumis_melo_USA_2004,pen,Cucumis melo,NA,NA,USA,40.436941,-75.173595,NA,NA,NA,7,7,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,Chao1,only non-Apis bees,3,0,0,3,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
Rachael_Winfree_Cucumis_melo_USA_2004,phi,Cucumis melo,NA,NA,USA,40.572263,-75.159815,NA,NA,NA,7,7,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,Chao1,only non-Apis bees,16,0,16,0,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
Rachael_Winfree_Cucumis_melo_USA_2004,ray,Cucumis melo,NA,NA,USA,40.318463,-75.374531,NA,NA,NA,7,7,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.5,Chao1,only non-Apis bees,2,0,0,2,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
Rachael_Winfree_Cucumis_melo_USA_2004,spr,Cucumis melo,NA,NA,USA,40.381194,-74.758451,NA,NA,NA,7,7,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6.9,Chao1,only non-Apis bees,20,0,13,7,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
Rachael_Winfree_Cucumis_melo_USA_2004,ter,Cucumis melo,NA,NA,USA,40.328383,-74.726315,NA,NA,NA,7,7,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4.5,Chao1,only non-Apis bees,4,0,3,1,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
Rachael_Winfree_Cucumis_melo_USA_2004,tra,Cucumis melo,NA,NA,USA,40.565136,-75.184283,NA,NA,NA,7,7,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,25.875,Chao1,only non-Apis bees,16,0,5,11,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/j.1365-2664.2007.01418.x,Rachael Winfree et al.,rwinfree@rutgers.edu
