study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Robert_Gillespie_Prunus_avium_USA_2013,cherry_sweet_wa_1_0,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,240.29,fruit weight per branch,NA,number of fruits per_flower,NA,NA,NA,NA,NA,28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,4.3333336,0,1.333333,0.3333339999999998,0.3333333,NA,2.3333333,NA,NA,NA,NA,10.1098/rspb.2020.0922,Robert W. Gillespie and all the co-authors in the referred publication,bgillespie@wvc.edu/jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
Robert_Gillespie_Prunus_avium_USA_2013,cherry_sweet_wa_1_25,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,148.112,fruit weight per branch,NA,number of fruits per_flower,NA,NA,NA,NA,NA,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,3.666667,0,2.666667,0,0,NA,1,NA,NA,NA,NA,10.1098/rspb.2020.0922,Robert W. Gillespie and all the co-authors in the referred publication,bgillespie@wvc.edu/jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
Robert_Gillespie_Prunus_avium_USA_2013,cherry_sweet_wa_1_50,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,162.767,fruit weight per branch,NA,number of fruits per_flower,NA,NA,NA,NA,NA,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,2.666667,0,2.666667,0,0,NA,0,NA,NA,NA,NA,10.1098/rspb.2020.0922,Robert W. Gillespie and all the co-authors in the referred publication,bgillespie@wvc.edu/jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
Robert_Gillespie_Prunus_avium_USA_2013,cherry_sweet_wa_1_100,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,274.435,fruit weight per branch,NA,number of fruits per_flower,NA,NA,NA,NA,NA,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,3.3333333,0,3,0,0,NA,0.3333333,NA,NA,NA,NA,10.1098/rspb.2020.0922,Robert W. Gillespie and all the co-authors in the referred publication,bgillespie@wvc.edu/jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
Robert_Gillespie_Prunus_avium_USA_2013,cherry_sweet_wa_2_0,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,114.76667,fruit weight per branch,NA,number of fruits per_flower,NA,NA,NA,NA,NA,12.555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,4,0,2,0,0,NA,2,NA,NA,NA,NA,10.1098/rspb.2020.0922,Robert W. Gillespie and all the co-authors in the referred publication,bgillespie@wvc.edu/jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
Robert_Gillespie_Prunus_avium_USA_2013,cherry_sweet_wa_2_25,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,54.16333,fruit weight per branch,NA,number of fruits per_flower,NA,NA,NA,NA,NA,5.833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,2.6666667,0,2,0,0,NA,0.6666667,NA,NA,NA,NA,10.1098/rspb.2020.0922,Robert W. Gillespie and all the co-authors in the referred publication,bgillespie@wvc.edu/jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
Robert_Gillespie_Prunus_avium_USA_2013,cherry_sweet_wa_2_50,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,161.42143,fruit weight per branch,NA,number of fruits per_flower,NA,NA,NA,NA,NA,13.571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,3.666667,0,2.666667,0,0,NA,1,NA,NA,NA,NA,10.1098/rspb.2020.0922,Robert W. Gillespie and all the co-authors in the referred publication,bgillespie@wvc.edu/jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
Robert_Gillespie_Prunus_avium_USA_2013,cherry_sweet_wa_2_100,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,127.70333,fruit weight per branch,NA,number of fruits per_flower,NA,NA,NA,NA,NA,13.777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,4.666667,0,1.666667,0,0.3333333,NA,2.6666667,NA,NA,NA,NA,10.1098/rspb.2020.0922,Robert W. Gillespie and all the co-authors in the referred publication,bgillespie@wvc.edu/jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
Robert_Gillespie_Prunus_avium_USA_2013,cherry_sweet_wa_3_0,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,216.61333,fruit weight per branch,NA,number of fruits per_flower,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,5.3333333,0,5,0,0,NA,0.3333333,NA,NA,NA,NA,10.1098/rspb.2020.0922,Robert W. Gillespie and all the co-authors in the referred publication,bgillespie@wvc.edu/jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
Robert_Gillespie_Prunus_avium_USA_2013,cherry_sweet_wa_3_25,Prunus avium,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,fruit weight per branch,NA,number of fruits per_flower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,visits,4,0,2.666667,0.3333330000000001,0,NA,1,NA,NA,NA,NA,10.1098/rspb.2020.0922,Robert W. Gillespie and all the co-authors in the referred publication,bgillespie@wvc.edu/jreilly45@gmail.com/rwinfree@rutgers.edu/isaacsr@msu.edu
