study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,1,Anthomyiidae sp5,non_bee_hymenoptera,Transect,2,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,1,Bibionidae sp1,other_flies,Transect,2,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,1,Bombus lapidarius,bumblebees,Transect,1,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,1,Bombus ruderarius,bumblebees,Transect,2,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,1,Bombus terrestris,bumblebees,Transect,1,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,1,Eristalis picea,syrphids,Transect,1,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,1,Melanostoma mellinum,syrphids,Transect,2,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,1,Pieris napi,lepidoptera,Transect,2,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,1,Platycheirus Scambus,syrphids,Transect,1,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,1,Sphaerophoria scripta,syrphids,Transect,1,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,2,Andrena sp1,wild_bees,Transect,3,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,2,Andrena sp3,wild_bees,Transect,1,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,2,Bibionidae sp1,other_flies,Transect,2,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,2,Bombus lucorum,bumblebees,Transect,1,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,2,Bombus ruderarius,bumblebees,Transect,1,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,2,Empididae sp1,other_flies,Transect,3,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,2,Melanostoma mellinum,syrphids,Transect,1,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,2,Muscidae sp3,other_flies,Transect,1,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,2,Muscidae sp5,other_flies,Transect,1,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,2,Parasyrphus annulatus,syrphids,Transect,1,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,2,Platycheirus peltatus,syrphids,Transect,2,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,2,Stratiomydae sp1,other_flies,Transect,1,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,3,Anthomyiidae sp4,non_bee_hymenoptera,Transect,1,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,3,Anthomyiidae sp5,non_bee_hymenoptera,Transect,2,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,3,Cantharis obscura,beetles,Transect,1,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,3,Ceratina sp1,wild_bees,Transect,1,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,3,Empididae sp1,other_flies,Transect,5,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,3,Epistrophe grossulariae,syrphids,Transect,1,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,3,Eristalis picea,syrphids,Transect,2,100,30,NA,"2 transects (50 m, 15 min. each)"
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,3,Muscidae sp1,other_flies,Transect,1,100,30,NA,"2 transects (50 m, 15 min. each)"
