study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Juliana_Hipólito_Mangifera_indica_Brazil_2005,1,Apis mellifera,honeybees,insect collection,1,NA,2880,NA,2 trees were selected in each field and insects were collected at 1 hour intervals over 24 hours
Juliana_Hipólito_Mangifera_indica_Brazil_2005,2,Apis mellifera,honeybees,insect collection,16,NA,1440,NA,2 trees were selected in each field and insects were collected at 1 hour intervals over 24 hours
Juliana_Hipólito_Mangifera_indica_Brazil_2005,3,Apis mellifera,honeybees,insect collection,7,NA,1440,NA,2 trees were selected in each field and insects were collected at 1 hour intervals over 24 hours
Juliana_Hipólito_Mangifera_indica_Brazil_2005,4,Apis mellifera,honeybees,insect collection,10,NA,1440,NA,2 trees were selected in each field and insects were collected at 1 hour intervals over 24 hours
Juliana_Hipólito_Mangifera_indica_Brazil_2005,1,Megachilidae sp1,other_wild_bees,insect collection,1,NA,2880,NA,2 trees were selected in each field and insects were collected at 1 hour intervals over 24 hours
Juliana_Hipólito_Mangifera_indica_Brazil_2005,2,Megachilidae sp1,other_wild_bees,insect collection,1,NA,1440,NA,2 trees were selected in each field and insects were collected at 1 hour intervals over 24 hours
Juliana_Hipólito_Mangifera_indica_Brazil_2005,3,Megachilidae sp1,other_wild_bees,insect collection,2,NA,1440,NA,2 trees were selected in each field and insects were collected at 1 hour intervals over 24 hours
Juliana_Hipólito_Mangifera_indica_Brazil_2005,1,Halictidae sp1,other_wild_bees,insect collection,1,NA,2880,NA,2 trees were selected in each field and insects were collected at 1 hour intervals over 24 hours
Juliana_Hipólito_Mangifera_indica_Brazil_2005,3,Trigonini,other_wild_bees,insect collection,5,NA,1440,NA,2 trees were selected in each field and insects were collected at 1 hour intervals over 24 hours
Juliana_Hipólito_Mangifera_indica_Brazil_2005,4,Trigonini,other_wild_bees,insect collection,3,NA,1440,NA,2 trees were selected in each field and insects were collected at 1 hour intervals over 24 hours
Juliana_Hipólito_Mangifera_indica_Brazil_2005,1,Hymenoptera,non_bee_hymenoptera,insect collection,1,NA,2880,NA,2 trees were selected in each field and insects were collected at 1 hour intervals over 24 hours
Juliana_Hipólito_Mangifera_indica_Brazil_2005,1,Coleoptera sp1,beetles,insect collection,16,NA,2880,NA,2 trees were selected in each field and insects were collected at 1 hour intervals over 24 hours
Juliana_Hipólito_Mangifera_indica_Brazil_2005,2,Coleoptera sp1,beetles,insect collection,1,NA,1440,NA,2 trees were selected in each field and insects were collected at 1 hour intervals over 24 hours
Juliana_Hipólito_Mangifera_indica_Brazil_2005,1,Coleoptera sp2,beetles,insect collection,2,NA,2880,NA,2 trees were selected in each field and insects were collected at 1 hour intervals over 24 hours
