study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk73,Andrena_carantonica,other_wild_bees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk48,Andrena_fulva,other_wild_bees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk74,Andrena_fulva,other_wild_bees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk08,Andrena_haemorrhoa,other_wild_bees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk12,Andrena_haemorrhoa,other_wild_bees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk08,Andrena_nigroaenea,other_wild_bees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk14,Andrena_nigroaenea,other_wild_bees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk32,Andrena_nigroaenea,other_wild_bees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk48,Andrena_nigroaenea,other_wild_bees,transects,2,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk77,Andrena_nigroaenea,other_wild_bees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk02,Apis_mellifera,honeybees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk08,Apis_mellifera,honeybees,transects,2,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk14,Apis_mellifera,honeybees,transects,39,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk42,Apis_mellifera,honeybees,transects,6,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk46,Apis_mellifera,honeybees,transects,2,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk48,Apis_mellifera,honeybees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk64,Apis_mellifera,honeybees,transects,2,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk74,Apis_mellifera,honeybees,transects,25,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk77,Apis_mellifera,honeybees,transects,4,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk78,Apis_mellifera,honeybees,transects,12,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk73,Bombus_abuterraneus,bumblebees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk42,Bombus_hortorum,bumblebees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk12,Bombus_lapidarius,bumblebees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk14,Bombus_lapidarius,bumblebees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk42,Bombus_lapidarius,bumblebees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk48,Bombus_lapidarius,bumblebees,transects,2,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk64,Bombus_lapidarius,bumblebees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk73,Bombus_lapidarius,bumblebees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk78,Bombus_lapidarius,bumblebees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk02,Bombus_terrestris_aggregate,bumblebees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk08,Bombus_terrestris_aggregate,bumblebees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk21,Bombus_terrestris_aggregate,bumblebees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk48,Bombus_terrestris_aggregate,bumblebees,transects,3,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk73,Bombus_terrestris_aggregate,bumblebees,transects,2,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk77,Bombus_terrestris_aggregate,bumblebees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk78,Bombus_ruderarius,bumblebees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk48,Bombus_rupestris,bumblebees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk21,Bombus_sylvarum,bumblebees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk73,Bombus_sylvarum,bumblebees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk78,Bombus_sylvarum,bumblebees,transects,2,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk48,Bombus_vestalis,bumblebees,transects,2,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk02,Bombus_spp.,bumblebees,transects,4,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk08,Bombus_spp.,bumblebees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk12,Bombus_spp.,bumblebees,transects,3,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk14,Bombus_spp.,bumblebees,transects,5,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk21,Bombus_spp.,bumblebees,transects,7,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk32,Bombus_spp.,bumblebees,transects,6,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk42,Bombus_spp.,bumblebees,transects,4,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk46,Bombus_spp.,bumblebees,transects,6,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk48,Bombus_spp.,bumblebees,transects,10,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk57,Bombus_spp.,bumblebees,transects,3,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk64,Bombus_spp.,bumblebees,transects,5,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk73,Bombus_spp.,bumblebees,transects,4,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk74,Bombus_spp.,bumblebees,transects,8,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk77,Bombus_spp.,bumblebees,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk78,Bombus_spp.,bumblebees,transects,10,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk08,Eristalis_arbustorum,syrphids,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk21,Eristalis_arbustorum,syrphids,transects,3,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk48,Eristalis_arbustorum,syrphids,transects,2,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk73,Eristalis_arbustorum,syrphids,transects,2,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk74,Eristalis_arbustorum,syrphids,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk78,Eristalis_arbustorum,syrphids,transects,6,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk02,Eristalis_similis,syrphids,transects,2,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk08,Eristalis_similis,syrphids,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk14,Eristalis_similis,syrphids,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk21,Eristalis_similis,syrphids,transects,5,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
Maj_Rundlof_Brassica_napus_Sweden_2012,lsk46,Eristalis_similis,syrphids,transects,1,300,30,NA,"Two surveys per field, and surveys were conducted in one 150 x 1 m transect per field, 15 min each"
