study_id,site_id,sampling_method,pollinator,identified_to,guild,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,description,notes
Eeraerts_etal_sweetcherry_Belgium_2015,Eeraerts_etal_2017_1,"Insect net, cathing from central observation plot (5 x 4 m2)",Apis.mellifera,species,honeybees,55,20,180,NA,3 times 60 minutes during a single day per orchard during full bloom of sweet cherry,NA
Eeraerts_etal_sweetcherry_Belgium_2015,Eeraerts_etal_2017_1,"Insect net, cathing from central observation plot (5 x 4 m2)",Andrena.flavipes,species,other_wild_bees,1,20,180,NA,3 times 60 minutes during a single day per orchard during full bloom of sweet cherry,NA
Eeraerts_etal_sweetcherry_Belgium_2015,Eeraerts_etal_2017_1,"Insect net, cathing from central observation plot (5 x 4 m2)",Anthophora.plumipes,species,other_wild_bees,1,20,180,NA,3 times 60 minutes during a single day per orchard during full bloom of sweet cherry,NA
Eeraerts_etal_sweetcherry_Belgium_2015,Eeraerts_etal_2017_1,"Insect net, cathing from central observation plot (5 x 4 m2)",Bombus.terrestris.agg,morphospecies,bumblebees,2,20,180,NA,3 times 60 minutes during a single day per orchard during full bloom of sweet cherry,NA
Eeraerts_etal_sweetcherry_Belgium_2015,Eeraerts_etal_2017_1,"Insect net, cathing from central observation plot (5 x 4 m2)",Osmia.cornuta,species,other_wild_bees,2,20,180,NA,3 times 60 minutes during a single day per orchard during full bloom of sweet cherry,NA
Eeraerts_etal_sweetcherry_Belgium_2015,Eeraerts_etal_2017_1,"Insect net, cathing from central observation plot (5 x 4 m2)",Eristalis.tenax,species,syrphids,1,20,180,NA,3 times 60 minutes during a single day per orchard during full bloom of sweet cherry,NA
Eeraerts_etal_sweetcherry_Belgium_2015,Eeraerts_etal_2017_2,"Insect net, cathing from central observation plot (5 x 4 m2)",Apis.mellifera,species,honeybees,57,20,180,NA,3 times 60 minutes during a single day per orchard during full bloom of sweet cherry,NA
Eeraerts_etal_sweetcherry_Belgium_2015,Eeraerts_etal_2017_2,"Insect net, cathing from central observation plot (5 x 4 m2)",Andrena.fulva,species,other_wild_bees,1,20,180,NA,3 times 60 minutes during a single day per orchard during full bloom of sweet cherry,NA
Eeraerts_etal_sweetcherry_Belgium_2015,Eeraerts_etal_2017_2,"Insect net, cathing from central observation plot (5 x 4 m2)",Bombus.terrestris.agg,morphospecies,bumblebees,1,20,180,NA,3 times 60 minutes during a single day per orchard during full bloom of sweet cherry,NA
Eeraerts_etal_sweetcherry_Belgium_2015,Eeraerts_etal_2017_2,"Insect net, cathing from central observation plot (5 x 4 m2)",Osmia.cornuta,species,other_wild_bees,2,20,180,NA,3 times 60 minutes during a single day per orchard during full bloom of sweet cherry,NA
Eeraerts_etal_sweetcherry_Belgium_2015,Eeraerts_etal_2017_2,"Insect net, cathing from central observation plot (5 x 4 m2)",Eristalis.tenax,species,syrphids,4,20,180,NA,3 times 60 minutes during a single day per orchard during full bloom of sweet cherry,NA
Eeraerts_etal_sweetcherry_Belgium_2015,Eeraerts_etal_2017_3,"Insect net, cathing from central observation plot (5 x 4 m2)",Apis.mellifera,species,honeybees,24,20,180,NA,3 times 60 minutes during a single day per orchard during full bloom of sweet cherry,NA
Eeraerts_etal_sweetcherry_Belgium_2015,Eeraerts_etal_2017_3,"Insect net, cathing from central observation plot (5 x 4 m2)",Bombus.lapidarius,species,bumblebees,1,20,180,NA,3 times 60 minutes during a single day per orchard during full bloom of sweet cherry,NA
Eeraerts_etal_sweetcherry_Belgium_2015,Eeraerts_etal_2017_3,"Insect net, cathing from central observation plot (5 x 4 m2)",Bombus.terrestris.agg,morphospecies,bumblebees,3,20,180,NA,3 times 60 minutes during a single day per orchard during full bloom of sweet cherry,NA
Eeraerts_etal_sweetcherry_Belgium_2015,Eeraerts_etal_2017_3,"Insect net, cathing from central observation plot (5 x 4 m2)",Eristalis.tenax,species,syrphids,3,20,180,NA,3 times 60 minutes during a single day per orchard during full bloom of sweet cherry,NA
Eeraerts_etal_sweetcherry_Belgium_2015,Eeraerts_etal_2017_4,"Insect net, cathing from central observation plot (5 x 4 m2)",Apis.mellifera,species,honeybees,12,20,180,NA,3 times 60 minutes during a single day per orchard during full bloom of sweet cherry,NA
Eeraerts_etal_sweetcherry_Belgium_2015,Eeraerts_etal_2017_4,"Insect net, cathing from central observation plot (5 x 4 m2)",Andrena.carantonica,species,other_wild_bees,4,20,180,NA,3 times 60 minutes during a single day per orchard during full bloom of sweet cherry,NA
